industry,market_size_usd,market_size_year,metric_type,region_scope,figure_as_stated,main_source,source_url,trusted_source_id,local_file,last_verified,status,deprecated_at,deprecated_reason
Aerospace / Aviation,184966000000,2025,value_added,US,"Air transportation, 2025: 184,966 (millions of dollars)","US BEA — Value Added by Industry (TVA105-A, published 2026-06-25)",https://apps.bea.gov/industry/Release/ZIP/GdpByInd.zip,bea,,2026-08-17,active,,
Automotive / Connected Vehicles,183970000000,2025,value_added,US,"Motor vehicles, bodies and trailers, and parts, 2025: 183,970 (millions of dollars)","US BEA — Value Added by Industry (TVA105-A, published 2026-06-25)",https://apps.bea.gov/industry/Release/ZIP/GdpByInd.zip,bea,,2026-08-17,active,,
Cloud Computing / Data Centers,590506000000,2025,value_added,US,"Data processing, internet publishing, and other information services, 2025: 590,506 (millions of dollars) — replaces the discontinued BEA Digital Economy Satellite Account (final vintage 2022, confirmed no successor exists); narrower NAICS scope than the prior 'digital economy' concept","US BEA — Value Added by Industry (TVA105-A, published 2026-06-25)",https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,bea,,2026-08-17,active,,
Cryptocurrency / Blockchain,2300000000000,2026,market_cap,global,"Total crypto market capitalization declined by about 4.2 percent quarter-on-quarter to USD 2.3 trillion by end-June 2026, extending the correction from its October 2025 peak of USD 4.4 trillion","IMF — Crypto Assets Monitor, Q2 2026 edition",https://www.imfconnect.org/content/dam/imf/News%20and%20Generic%20Content/GMM/Special%20Features/GMM%20Crypto%20Monitor%20Q2%202026.pdf,imf,,2026-08-17,active,,
Education / Research,5800000000000,2022,expenditure,global,"Total education spending increased from US$5.7 trillion in 2021 to US$5.8 trillion in 2022 (2022 constant US dollars; governments, households, donors)",World Bank / UNESCO — Education Finance Watch 2024,https://documents1.worldbank.org/curated/en/099102824144527868/pdf/P50097819250a00ce1812018168df2deaa3.pdf,world-bank,,2026-08-17,deprecated,2026-08-17,No official ≥2024 global education-expenditure statistic exists as of 2026-08-17 (World Bank/UNESCO Education Finance Watch 2024 remains the latest edition, covering 2022 data; no OECD/NCES alternate found) — exceeds the 2024-or-newer freshness rule; re-check on the next official edition.
Critical Infrastructure / Energy,3400000000000,2026,investment,global,"Capital flows to the energy sector are expected to grow to USD 3.4 trillion in 2026, a 5% rise from 2025","IEA — World Energy Investment 2026",https://iea.blob.core.windows.net/assets/64594543-cf6e-4fd9-8238-d3cae35daf48/WorldEnergyInvestment2026.pdf,iea,,2026-08-17,active,,
Financial Services / Banking,2441825000000,2025,value_added,US,"Finance and insurance, 2025: 2,441,825 (millions of dollars)","US BEA — Value Added by Industry (TVA105-A, published 2026-06-25)",https://apps.bea.gov/industry/Release/ZIP/GdpByInd.zip,bea,,2026-08-17,active,,
Government / Defense,2651803473255,2024,expenditure,global,"World military expenditure (current USD), 2024: 2,651,803,473,255 (WDI indicator MS.MIL.XPND.CD)",World Bank — World Development Indicators (military expenditure),https://api.worldbank.org/v2/country/WLD/indicator/MS.MIL.XPND.CD?format=json&per_page=10&date=2018:2024,world-bank,,2026-08-17,active,,
Healthcare / Pharmaceutical,5300000000000,2024,expenditure,US,"NHE grew 7.2% to $5.3 trillion in 2024, or $15,474 per person, and accounted for 18.0% of Gross Domestic Product (GDP) — replaces the deprecated global WHO figure (Global Health Expenditure Report 2024, stuck at 2022 data with no newer edition); no official ≥2024 GLOBAL healthcare-expenditure total exists anywhere after re-checking CMS, OECD, Eurostat, World Bank, IMF, and WHO's raw GHED database directly — Eurostat/World Bank/WHO GHED all independently cap out at 2023. Scope narrows from global to US-only","US CMS — National Health Expenditure (NHE) Fact Sheet, Historical NHE 2024 (published Jan 2026)",https://www.cms.gov/data-research/statistics-trends-and-reports/national-health-expenditure-data/nhe-fact-sheet,cms,,2026-08-17,active,,
IT Industry / Software,553797000000,2025,value_added,US,"Computer systems design and related services, 2025: 553,797 (millions of dollars) — replaces the discontinued BEA Digital Economy Satellite Account (final vintage 2022, confirmed no successor exists); narrower NAICS scope, excludes hardware and software publishers","US BEA — Value Added by Industry (TVA105-A, published 2026-06-25)",https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,bea,,2026-08-17,active,,
Legal / Notary / eSignature,421874000000,2025,value_added,US,"Legal services, 2025: 421,874 (millions of dollars)","US BEA — Value Added by Industry (TVA105-A, published 2026-06-25)",https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,bea,,2026-08-17,active,,
Media / Entertainment / DRM,119016000000,2025,value_added,US,"Motion picture and sound recording industries, 2025: 119,016 (millions of dollars) — replaces BEA's Arts and Cultural Production Satellite Account (final vintage 2023; BEA posted a notice in Feb 2026 that it will no longer regularly produce these statistics); narrower NAICS scope, excludes performing arts and museums","US BEA — Value Added by Industry (TVA105-A, published 2026-06-25)",https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,bea,,2026-08-17,active,,
Payment Card Industry,11500000000000,2024,payment_value,US,"Total card payments 2024: $11.50 trillion (debit $4.99T, credit $6.51T) — Federal Reserve Payments Study top-line","US Federal Reserve — Payments Study, National Payment Volumes CY2015-24",https://www.federalreserve.gov/paymentsystems/frps_cy2015_24_topline.htm,federal-reserve,,2026-08-17,active,,
Rail / Transit,50944000000,2025,value_added,US,"Rail transportation, 2025: 50,944 (millions of dollars)","US BEA — Value Added by Industry (TVA105-A, published 2026-06-25)",https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,bea,,2026-08-17,active,,
Retail / E-Commerce,1233700000000,2025,revenue,US,"Total e-commerce sales for 2025 were estimated at $1,233.7 billion, 16.4 percent of total retail sales",US Census Bureau — Quarterly Retail E-Commerce Sales Q4 2025 (CB26-42),https://www2.census.gov/retail/releases/historical/ecomm/25q4.pdf,us-census,,2026-08-17,active,,
Supply Chain / Logistics,1023864000000,2025,value_added,US,"Transportation and warehousing, 2025: 1,023,864 (millions of dollars)","US BEA — Value Added by Industry (TVA105-A, published 2026-06-25)",https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,bea,,2026-08-17,active,,
Telecommunications,506426000000,2025,value_added,US,"Broadcasting and telecommunications, 2025: 506,426 (millions of dollars) — replaces the 2015 ITU global-revenue figure; no official ITU/OECD/World Bank global telecom-revenue total has existed since (ITU's World Telecommunication/ICT Indicators Database was discontinued in 2024 with no aggregate successor). Scope changes on three axes: US-only (not global), combined broadcasting+telecom NAICS 515+517 (not telecom alone), value-added (not revenue)","US BEA — Value Added by Industry (TVA105-A, published 2026-06-25)",https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,bea,,2026-08-17,active,,
Water / Wastewater,150381695000,2022,revenue,US,"Water supply utility revenue $80,548,263K + sewerage charges $69,833,432K (state & local government, US total; amounts in thousands)","US Census Bureau — 2022 Census of Governments: Finance, Table 1",https://www2.census.gov/programs-surveys/gov-finances/tables/2022/22slsstab1.xlsx,us-census,,2026-08-17,deprecated,2026-08-17,No official ≥2024 US water/wastewater revenue statistic exists as of 2026-08-17 (the quinquennial Census of Governments' next edition is 2027; the intervening Annual Survey of State and Local Government Finances does not publish the aggregated national summary table for non-census years; EPA's CWNS/DWINSA measure capital needs, not revenue) — re-check on the 2027 Census of Governments or if Census restores the annual summary table.
Insurance,842755000000,2025,value_added,US,"Insurance carriers and related activities, 2025: 842,755 (millions of dollars)","US BEA — Value Added by Industry (TVA105-A, published 2026-06-25)",https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,bea,,2026-08-17,active,,
