industry,standard_id,standard_label,standards_body,library_ref,mechanisms_referenced,pqc_readiness,use_case_ids,main_source,source_url,trusted_source_id,local_file,peer_reviewed,vetting_body,confidence_score,last_verified,status,deprecated_at,deprecated_reason
Cross-Industry,RFC-8446,TLS 1.3,IETF,RFC 8446,ECDH;X25519;RSA;ECDSA,in-progress,cross-web-tls,The Transport Layer Security (TLS) Protocol Version 1.3,https://www.rfc-editor.org/rfc/rfc8446.html,ietf,,yes,IETF,0.9,2026-07-29,active,,
Cross-Industry,RFC-5280,X.509 PKI certificate & CRL profile,IETF,RFC 5280,RSA;ECDSA,in-progress,cross-pki,Internet X.509 Public Key Infrastructure Certificate and CRL Profile,https://www.rfc-editor.org/rfc/rfc5280.html,ietf,,yes,IETF,0.9,2026-07-29,active,,
Cross-Industry,RFC-8551,S/MIME 4.0 message specification,IETF,RFC 8551,RSA;ECDSA;ECDH,in-progress,cross-email,Secure/Multipurpose Internet Mail Extensions (S/MIME) Version 4.0 Message Specification,https://www.rfc-editor.org/rfc/rfc8551.html,ietf,,yes,IETF,0.9,2026-07-29,active,,
Cross-Industry,FIPS-203,ML-KEM (FIPS 203),NIST,FIPS 203,ML-KEM,published,cross-web-tls;cross-vpn,Module-Lattice-Based Key-Encapsulation Mechanism Standard (ML-KEM),https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.203.pdf,nist-csrc,,yes,NIST,0.9,2026-07-29,active,,
Cross-Industry,FIPS-204,ML-DSA (FIPS 204),NIST,FIPS 204,ML-DSA,published,cross-pki;cross-code-signing,Module-Lattice-Based Digital Signature Standard (ML-DSA),https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.204.pdf,nist-csrc,,yes,NIST,0.9,2026-07-29,active,,
Cross-Industry,FIPS-205,SLH-DSA (FIPS 205),NIST,FIPS 205,SLH-DSA,published,cross-code-signing,Stateless Hash-Based Digital Signature Standard (SLH-DSA),https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.205.pdf,nist-csrc,,yes,NIST,0.9,2026-07-29,active,,
Cross-Industry,FIPS-206,"FN-DSA (FIPS 206, draft)",NIST,FIPS 206,FN-DSA,in-progress,,FFT over NTRU-Lattice-Based Digital Signature Algorithm (FN-DSA),https://csrc.nist.gov/projects/post-quantum-cryptography,nist-csrc,,yes,NIST,0.9,2026-07-29,active,,
Cross-Industry,NIST-SP-800-227,Recommendations for KEMs,NIST,NIST SP 800-227,ML-KEM,published,cross-vpn,Recommendations for Key-Encapsulation Mechanisms,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-227.pdf,nist-csrc,,yes,NIST,0.9,2026-07-29,active,,
Cross-Industry,NIST-IR-8547,Transition to PQC standards (IPD),NIST,NIST IR 8547,RSA;ECDSA;ECDH;ML-KEM;ML-DSA;SLH-DSA,in-progress,cross-web-tls;cross-pki,Transition to Post-Quantum Cryptography Standards,https://csrc.nist.gov/pubs/ir/8547/ipd,nist-csrc,,yes,NIST,0.9,2026-07-29,active,,
Cross-Industry,RFC-9364,DNSSEC (BCP 237),IETF,RFC 9364,RSA;ECDSA,in-progress,,DNS Security Extensions (DNSSEC) — BCP 237,https://datatracker.ietf.org/doc/html/rfc9364,ietf,,yes,IETF,0.9,2026-07-29,active,,
Cross-Industry,BSI-TR-02102-3,BSI TR-02102-3 IPsec crypto recommendations,BSI,BSI TR-02102-3,ECDH;RSA,in-progress,cross-vpn,Cryptographic Mechanisms: Recommendations for IPsec,https://www.bsi.bund.de/SharedDocs/Downloads/EN/BSI/Publications/TechGuidelines/TG02102/BSI-TR-02102-3.pdf,bsi,,yes,BSI,0.9,2026-07-29,active,,
Government / Defense,CNSA-2.0,NSA CNSA 2.0 algorithm suite,NSA,NSA CNSA 2.0,ML-KEM;ML-DSA;LMS;XMSS,published,gov-nss;gov-classified,Commercial National Security Algorithm Suite 2.0,https://media.defense.gov/2025/May/30/2003728741/-1/-1/0/CSA_CNSA_2.0_ALGORITHMS.PDF,nsa-media,,yes,NSA,0.9,2026-07-29,active,,
Government / Defense,RFC-8603,CNSA suite TLS profile,IETF,RFC 8603,RSA;ECDSA;ECDH,in-progress,gov-nss,Commercial National Security Algorithm (CNSA) Suite Profile for TLS 1.2 and 1.3,https://www.rfc-editor.org/rfc/rfc8603.html,ietf,,yes,IETF,0.9,2026-07-29,active,,
Telecommunications,3GPP-TS-33.501,5G security architecture (TS 33.501),3GPP,3GPP TS 33.501,ECDH;X25519;RSA;ECDSA,in-progress,telco-suci;telco-certs,Security Architecture and Procedures for 5G System,https://www.3gpp.org/dynareport/33501.htm,etsi,,yes,3GPP,0.9,2026-07-29,active,,
Telecommunications,GSMA-PQ.03,GSMA PQ.03 PQC guidelines for telecom,GSMA,GSMA PQ.03 PQC Guidelines,ML-KEM;ML-DSA,published,telco-transport;telco-subscriber,Post-Quantum Cryptography Guidelines for Telecom Use Cases,https://www.gsma.com/newsroom/wp-content/uploads/PQ.03-Post-Quantum-Cryptography-Guidelines-for-Telecom-Use-Cases-v2.0-2.pdf,gsma,,yes,GSMA,0.9,2026-07-29,active,,
Telecommunications,NIST-CSWP-36A,Protecting subscriber identifiers (SUCI),NIST,NIST-CSWP-36A,ECDH;ML-KEM,in-progress,telco-suci,Protecting Subscriber Identifiers with Subscription Concealed Identifier (SUCI): Applying 5G Cybersecurity and Privacy Capabilities,https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.36A.pdf,nist-csrc,,yes,NIST,0.9,2026-07-29,active,,
