from_concept,to_concept,relationship_type,rationale_type,evidence,confidence,notes,extraction_source,extracted_at,review_status,reviewed_by,reviewed_date
NIST,FIPS 186,intersects_with,policy_reference,"""Vulnerable NIST standards • RSA • ECDSA (and Elliptic Curve Cryptography) • FIPS 186, Digital Signature Standard""",high,"The text identifies FIPS 186 as a NIST standard that is vulnerable to quantum attacks, establishing a direct reference.",enrich-compliance-xwalk.py,2026-09-17,candidate,,
NIST,SP 800-56A/B,intersects_with,policy_reference,"""Diffie-Hellman key exchange • SP 800-56A/B, Recommendation for Pair- Wise Key Establishment Schemes""",high,The text lists SP 800-56A/B as a NIST standard for key establishment that is vulnerable to quantum attacks.,enrich-compliance-xwalk.py,2026-09-17,candidate,,
NIST,NIST-IR-8105,intersects_with,timeline_anchor,"""Feb 2016: NIST report on PQC- http://csrc.nist.gov/publications/drafts/nistir-8105/nistir_8105_draft.pdf""",high,"The text explicitly cites NIST IR 8105 as a report on PQC released in Feb 2016, serving as a timeline anchor for the project.",enrich-compliance-xwalk.py,2026-09-17,candidate,,
NIST,FIPS 203,intersects_with,policy_reference,"""NIST is calling for quantum-resistant cryptographic algorithms for new public-key crypto standards""",medium,"FIPS 203 is a known citation in the record's metadata. The text describes the process of creating ""new public-key crypto standards"" which FIPS 203 (ML-KEM) represents. The relationship is inferred from the context of NIST standardizing PQC algorithms.",enrich-compliance-xwalk.py,2026-09-17,candidate,,
NIST,FIPS 204,intersects_with,policy_reference,"""NIST is calling for quantum-resistant cryptographic algorithms for new public-key crypto standards""",medium,"FIPS 204 is a known citation in the record's metadata. The text describes the process of creating ""new public-key crypto standards"" which FIPS 204 (ML-DSA) represents. The relationship is inferred from the context of NIST standardizing PQC algorithms.",enrich-compliance-xwalk.py,2026-09-17,candidate,,
NIST,FIPS 205,intersects_with,policy_reference,"""NIST is calling for quantum-resistant cryptographic algorithms for new public-key crypto standards""",medium,"FIPS 205 is a known citation in the record's metadata. The text describes the process of creating ""new public-key crypto standards"" which FIPS 205 (SLH-DSA) represents. The relationship is inferred from the context of NIST standardizing PQC algorithms.",enrich-compliance-xwalk.py,2026-09-17,candidate,,
NIST,NIST SP 800-227,intersects_with,implementation_guidance,"""NIST will provide transition guideline when PQC standards are developed""",medium,"NIST SP 800-227 is a known citation in the record's metadata. The text states NIST will provide transition guidelines, which SP 800-227 (Transitioning to Post-Quantum Cryptography) fulfills.",enrich-compliance-xwalk.py,2026-09-17,candidate,,
NIST,FIPS 206,intersects_with,policy_reference,"""NIST is calling for quantum-resistant cryptographic algorithms for new public-key crypto standards""",low,"FIPS 206 is a known citation in the record's metadata. While the text discusses standardization, FIPS 206 (FN-DSA) was not part of the initial 2022/2024 final standards set described in this specific 2016-era text context, but is listed in the record's known citations. The relationship is weakly supported by the general mandate to standardize PQC.",enrich-compliance-xwalk.py,2026-09-17,candidate,,
NIST,NIST-IR-8547,intersects_with,timeline_anchor,"""NIST will report its findings""",low,"NIST-IR-8547 is a known citation in the record's metadata. The text mentions NIST reporting findings, but does not explicitly name IR 8547. The relationship is inferred from the record's metadata listing it as a related document, likely a later report on the project's status or results.",enrich-compliance-xwalk.py,2026-09-17,candidate,,
ENISA,ENISA PQC Guidelines,equivalent,equivalence,"""POST-QUANTUM CRYPTOGRAPHY Current state and quantum mitigation MAY 2021, v2""",high,"The source text is the ""ENISA PQC Guidelines"" document itself (v2, May 2021). The compliance record ""ENISA"" is the authoring body, and this document is its primary PQC guidance output.",enrich-compliance-xwalk.py,2026-09-17,candidate,,
